SKU,Stock_Level,Quantity,Equal
054041511506,0,0,True
054041511605,0,0,True
054041511704,0,0,True
054041511650,0,0,True
054041512008,0,0,True
054041518345,5,0,False
054041510301,0,0,True
054041510400,17,0,False
054041511056,0,0,True
054041511100,0,0,True
736676902231,64,0,False
661120311232,26,0,False
661120806806,0,0,True
661120952343,0,0,True
661120885559,0,0,True
661120488859,0,0,True
661120841487,0,0,True
661120176008,0,0,True
661120875574,2,0,False
30661120746622,1,0,False
661120163756,8,0,False
661120001430,52,0,False
661120331179,3,0,False
661120001447,0,0,True
661120204442,0,0,True
661120017776,0,0,True
661120016007,1,0,False
661120453895,2,0,False
661120632344,3,0,False
661120789987,0,0,True
661120952534,0,0,True
661120627715,22,0,False
661120567165,77,0,False
661120266457,0,0,True
661120984580,15,0,False
661120008880,7,0,False
661120399766,9,0,False
661120836407,255,0,False
661120352358,0,0,True
661120486640,0,0,True
661120692300,94,0,False
661120765783,3,0,False
661120025795,4,0,False
30661120468890,0,0,True
034337025153,0,0,True
CH40261,0,0,True
076683402998,131,0,False
076683404688,68,0,False
076683404701,63,0,False
076683404725,0,0,True
076683404732,0,0,True
076683404794,0,0,True
076683406354,17,0,False
076683407221,36,0,False
076683407467,0,0,True
076683407498,0,0,True
076683407504,0,0,True
076683407511,0,0,True
076683407535,0,0,True
076683407597,0,0,True
076683407627,0,0,True
076683407771,0,0,True
076683407962,14,0,False
076683408525,10,0,False
076683408532,293,0,False
076683408549,211,0,False
076683408556,57,0,False
CH40856,49,0,False
076683408570,11,0,False
076683408778,0,0,True
076683409010,204,0,False
076683409034,0,0,True
076683409065,7,0,False
076683409072,0,0,True
076683409096,0,0,True
CH40909-12,7,0,False
CH40909-15,4,0,False
076683409102,0,0,True
CH40910-5,1,0,False
CH40910-6,9,0,False
CH40910-7,0,0,True
076683409119,0,0,True
CH40911-17,5,0,False
CH40911-19,13,0,False
076683409126,0,0,True
076683409133,0,0,True
76683409157,67,0,False
604544618877,264,0,False
076683409492,0,0,True
076683409515,0,0,True
076683409522,0,0,True
076683409546,57,0,False
076683409560,7,0,False
076683409751,2,0,False
076683409911,0,0,True
076683448026,18,0,False
076683448064,14,0,False
604544621730,66,0,False
604544621853,0,0,True
076683453228,0,0,True
076683453242,0,0,True
076683453259,0,0,True
076683455505,24,0,False
076683455512,11,0,False
076683455635,10,0,False
076683457165,0,0,True
076683457233,0,0,True
076683457240,0,0,True
076683457257,0,0,True
076683457264,0,0,True
076683457608,0,0,True
076683457615,0,0,True
076683457622,0,0,True
076683457639,0,0,True
076683457714,0,0,True
076683457813,55,0,False
076683457851,0,0,True
076683457868,1,0,False
076683458025,0,0,True
076683458056,0,0,True
076683458209,0,0,True
076683458216,0,0,True
076683458223,0,0,True
076683458230,20,0,False
076683458247,0,0,True
076683458254,14,0,False
076683458261,0,0,True
076683458278,1,0,False
076683458537,0,0,True
076683459022,18,0,False
076683473882,0,0,True
076683780522,0,0,True
076683780904,0,0,True
076683780911,0,0,True
076683780935,0,0,True
CHARGER,0,0,True
CHARGERTD,0,0,True
CM2012EJRP,0,0,True
CM2012EJS,0,0,True
CO1070M45,0,0,True
CO1070RG,0,0,True
CO1970CM,0,0,True
CO1980CCS,0,0,True
CO1982RG,0,0,True
CO1991,0,0,True
CO2071ELC2,0,0,True
098289041852,0,0,True
CO5070XE,0,0,True
CO5072XE,0,0,True
CO5870A1,0,0,True
CO6891,0,0,True
7318640025615,0,0,True
CP4750,0,0,True
CP4850,0,0,True
CSP300098T,0,0,True
CSP300307,0,0,True
CSP50170B,16,0,False
CSP50215B,10,0,False
CSP50225B,0,0,True
CSP51044B,0,0,True
CSP51044L,3,0,False
CSP54715B,2,0,False
